CodMunicipio;Municipio;Media
35004;Arrecife;34,80
35010;Haría;41,57
35018;San Bartolomé;34,69
35024;Teguise;36,56
35028;Tías;37,19
35029;Tinajo;36,36
35034;Yaiza;35,69
35003;Antigua;36,17
35007;Betancuria;42,73
35014;Oliva (La);34,83
35015;Pájara;34,11
35017;Puerto del Rosario;33,78
35030;Tuineje;34,68
35001;Agaete;41,46
35002;Agüimes;35,26
35005;Artenara;44,96
35006;Arucas;38,35
35008;Firgas;39,28
35009;Gáldar;39,03
35011;Ingenio;36,13
35012;Mogán;38,04
35013;Moya;41,79
35016;Palmas de Gran Canaria (Las);39,47
35019;San Bartolomé de Tirajana;37,94
35020;Aldea de San Nicolás (La);39,54
35021;Santa Brígida;39,02
35022;Santa Lucía;34,19
35023;Santa María de Guía;40,26
35025;Tejeda;46,74
35026;Telde;36,47
35027;Teror;40,09
35031;Valsequillo;36,69
35032;Valleseco;43,26
35033;Vega de San Mateo;39,92
38001;Adeje;36,06
38004;Arafo;41,47
38005;Arico;41,08
38006;Arona;36,69
38010;Buenavista del Norte;42,74
38011;Candelaria;38,15
38012;Fasnia;45,11
38015;Garachico;43,19
38017;Granadilla de Abona;35,71
38018;Guancha (La);40,98
38019;Guía de Isora;37,52
38020;Güimar;40,22
38022;Icod de Los Vinos;40,28
38023;Laguna (La);38,76
38025;Matanza de Acentejo (La);38,56
38026;Orotava (La);38,47
38028;Puerto de La Cruz;43,40
38031;Realejos (Los);38,76
38032;Rosario (El);37,34
38034;San Juan de La Rambla;40,07
38035;San Miguel;36,20
38038;Santa Cruz de Tenerife;40,16
38039;Santa Úrsula;38,05
38040;Santiago del Teide;45,06
38041;Sauzal (El);39,31
38042;Silos (Los);44,54
38043;Tacoronte;38,43
38044;Tanque (El);41,21
38046;Tegueste;38,75
38051;Victoria de Acentejo (La);39,03
38052;Vilaflor;42,21
38002;Agulo;48,07
38003;Alajeró;41,11
38021;Hermigua;45,73
38036;San Sebastián de La Gomera;39,06
38049;Valle Gran Rey;42,77
38050;Vallehermoso;48,54
38007;Barlovento;46,27
38008;Breña Alta;39,46
38009;Breña Baja;39,36
38014;Fuencaliente;43,84
38016;Garafía;48,32
38024;Llanos de Aridane (Los);40,13
38027;Paso (El);41,79
38029;Puntagorda;42,91
38030;Puntallana;44,01
38033;San Andrés y Sauces;45,24
38037;Santa Cruz de La Palma;41,12
38045;Tazacorte;43,36
38047;Tijarafe;44,08
38053;Villa de Mazo;42,92
38013;Frontera;42,69
38048;Valverde;42,40
